seq,timestamp_ms,red,ir,red_corrected,ir_corrected,datetime
168,138434,40595,100941,5.42493072223874,38.05742602225446,1970-01-01 00:02:18.434
169,138463,40598,100958,7.449837298542151,55.11721510908524,1970-01-01 00:02:18.463
170,138473,40598,100969,7.534874504941788,65.70136653771715,1970-01-01 00:02:18.473
171,138494,40600,100967,9.024237445941749,63.3717905321314,1970-01-01 00:02:18.494
172,138515,40586,100962,-4.743680762154822,57.60582628836895,1970-01-01 00:02:18.515
173,138538,40602,100957,11.797763022444556,52.63384785980101,1970-01-01 00:02:18.538
174,138570,40601,100965,10.455952529911084,60.61921470963371,1970-01-01 00:02:18.570
175,138584,40588,100963,-2.6422478848749167,57.91423845226238,1970-01-01 00:02:18.584
176,138597,40591,100958,0.0352415928943985,52.336000284044125,1970-01-01 00:02:18.597
177,138620,40606,100970,14.902505017043955,64.07991096208893,1970-01-01 00:02:18.620
178,138642,40602,100963,10.7759519210756,57.02740755796056,1970-01-01 00:02:18.642
179,138653,40571,100975,-19.63672264609508,68.74210432880217,1970-01-01 00:02:18.653
180,138676,40601,100971,10.56692590259843,64.56815482964002,1970-01-01 00:02:18.676
181,138696,40609,100966,17.800089324568553,59.02327050036246,1970-01-01 00:02:18.696
182,138719,40610,100982,18.34532097825899,74.48537619313868,1970-01-01 00:02:18.719
183,138738,40593,100971,1.2420053333576844,63.42637038705095,1970-01-01 00:02:18.738
184,138764,40594,100963,2.538189684577194,55.10989990273013,1970-01-01 00:02:18.764
185,138775,40602,100919,10.56476078400314,11.160879975832732,1970-01-01 00:02:18.775
186,138797,40608,100976,16.44567269198432,67.6606595984859,1970-01-01 00:02:18.797
187,138818,40621,100990,29.38958885776122,80.83830145767593,1970-01-01 00:02:18.818
188,138830,40607,100984,15.135105305202451,74.45942246524383,1970-01-01 00:02:18.830
189,138850,40609,100959,16.460169380986166,49.55920440534559,1970-01-01 00:02:18.850
190,138886,40601,100977,7.588830729642197,67.3043880216689,1970-01-01 00:02:18.886
